ind	site	stock	stock2	length	longitude	true_longitude
E2_1	E2	E	E	13.5	146.312045	146.354895
E2_12	E2	E	E	9.6	146.312045	146.354895
E2_13	E2	E	E	9.7	146.312045	146.354895
E2_14	E2	E	E	9.7	146.312045	146.354895
E2_15	E2	E	E	11.1	146.312045	146.354895
E2_16	E2	E	E	9.3	146.312045	146.354895
E2_17	E2	E	E	10.2	146.312045	146.354895
E2_18	E2	E	E	9.6	146.312045	146.354895
E2_19	E2	E	E	9.1	146.312045	146.354895
E2_20	E2	E	E	9.6	146.312045	146.354895
E2_21	E2	E	E	10.7	146.312045	146.354895
E2_22	E2	E	E	10.2	146.312045	146.354895
E2_23	E2	E	E	9.9	146.312045	146.354895
E2_24	E2	E	E	10.5	146.312045	146.354895
E2_25	E2	E	E	9.1	146.312045	146.354895
E2_26	E2	E	E	9.7	146.312045	146.354895
E2_27	E2	E	E	10.7	146.312045	146.354895
E2_30	E2	E	E	9.1	146.312045	146.354895
E2_31	E2	E	E	9.5	146.312045	146.354895
E2_32	E2	E	E	10.2	146.312045	146.354895
E2_34	E2	E	E	9.7	146.312045	146.354895
E2_35	E2	E	E	9.8	146.312045	146.354895
E2_36	E2	E	E	9.7	146.312045	146.354895
E2_37	E2	E	E	9.3	146.312045	146.354895
E2_38	E2	E	E	9.7	146.312045	146.354895
E2_39	E2	E	E	10.2	146.312045	146.354895
E2_4	E2	E	E	12.7	146.312045	146.354895
E2_40	E2	E	E	8.3	146.312045	146.354895
E2_42	E2	E	E	9.4	146.312045	146.354895
E2_7	E2	E	E	15.5	146.312045	146.354895
E2_9	E2	E	E	14.6	146.312045	146.354895
E6_1	E6	E	E	13.1	146.374801	146.354895
E6_10	E6	E	E	12	146.374801	146.354895
E6_11	E6	E	E	11.8	146.374801	146.354895
E6_12	E6	E	E	13.2	146.374801	146.354895
E6_13	E6	E	E	13.4	146.374801	146.354895
E6_14	E6	E	E	12.5	146.374801	146.354895
E6_15	E6	E	E	13.7	146.374801	146.354895
E6_16	E6	E	E	12.4	146.374801	146.354895
E6_2	E6	E	E	13	146.374801	146.354895
E6_3	E6	E	E	12.9	146.374801	146.354895
E6_4	E6	E	E	12.2	146.374801	146.354895
E6_5	E6	E	E	12.9	146.374801	146.354895
E6_6	E6	E	E	13.6	146.374801	146.354895
E6_7	E6	E	E	13.4	146.374801	146.354895
E6_8	E6	E	E	13.4	146.374801	146.354895
E6_9	E6	E	E	12.4	146.374801	146.354895
E1_1	E1	E	E	12.3	146.354895	146.354895
E1_10.bis	E1	E	E	8.9	146.354895	146.354895
E1_11	E1	E	E	12.3	146.354895	146.354895
E1_12	E1	E	E	12.4	146.354895	146.354895
E1_13.bis	E1	E	E	13.5	146.354895	146.354895
E1_14	E1	E	E	9.5	146.354895	146.354895
E1_15	E1	E	E	13.1	146.354895	146.354895
E1_16	E1	E	E	12.3	146.354895	146.354895
E1_17	E1	E	E	9	146.354895	146.354895
E1_18	E1	E	E	12.4	146.354895	146.354895
E1_19	E1	E	E	8.5	146.354895	146.354895
E1_2.bis	E1	E	E	12	146.354895	146.354895
E1_20.bis	E1	E	E	7.7	146.354895	146.354895
E1_21	E1	E	E	11.3	146.354895	146.354895
E1_22	E1	E	E	12.5	146.354895	146.354895
E1_23	E1	E	E	10.2	146.354895	146.354895
E1_25	E1	E	E	14.3	146.354895	146.354895
E1_26	E1	E	E	13.5	146.354895	146.354895
E1_27	E1	E	E	12.5	146.354895	146.354895
E1_28	E1	E	E	14.1	146.354895	146.354895
E1_29	E1	E	E	12.4	146.354895	146.354895
E1_3	E1	E	E	13	146.354895	146.354895
E1_30	E1	E	E	13.2	146.354895	146.354895
E1_5	E1	E	E	11.6	146.354895	146.354895
E1_8.bis	E1	E	E	11.5	146.354895	146.354895
E4_10	E4	E	E	13	146.27623	146.354895
E4_12	E4	E	E	11	146.27623	146.354895
E4_13	E4	E	E	13.5	146.27623	146.354895
E4_15	E4	E	E	17.5	146.27623	146.354895
E4_19	E4	E	E	17	146.27623	146.354895
E4_2	E4	E	E	19	146.27623	146.354895
E4_20	E4	E	E	15	146.27623	146.354895
E4_22	E4	E	E	15	146.27623	146.354895
E4_4	E4	E	E	15	146.27623	146.354895
E4_5	E4	E	E	15.5	146.27623	146.354895
E4_9	E4	E	E	14	146.27623	146.354895
E5_1	E5	E	E	15	146.234397	146.354895
E5_10	E5	E	E	15.5	146.234397	146.354895
E5_11	E5	E	E	16.5	146.234397	146.354895
E5_12	E5	E	E	14	146.234397	146.354895
E5_13	E5	E	E	15	146.234397	146.354895
E5_14	E5	E	E	14.3	146.234397	146.354895
E5_15	E5	E	E	13.5	146.234397	146.354895
E5_16	E5	E	E	14.6	146.234397	146.354895
E5_17	E5	E	E	16.2	146.234397	146.354895
E5_18	E5	E	E	13.3	146.234397	146.354895
E5_19	E5	E	E	14.2	146.234397	146.354895
E5_20	E5	E	E	15	146.234397	146.354895
E5_21	E5	E	E	13	146.234397	146.354895
E5_22	E5	E	E	13.2	146.234397	146.354895
E5_23	E5	E	E	13	146.234397	146.354895
E5_24	E5	E	E	13.6	146.234397	146.354895
E5_25	E5	E	E	14.1	146.234397	146.354895
